,,,,,,,,TOA5,5466,CR350,5466.1,CR350-CELL220.Std.01.05,CPU:SchoolA_1_Roof_script.CRB,52389,SchoolA_1_Roof
TIMESTAMP,RECORD,BP_mbar_Avg,RH_Avg,AirT_C_Avg,DP_C_Avg,WS_ms_Avg,WindDir_Avg,RainITX_mm,MetSENS_Status,BlackGlobe_C_Avg,TdC_Avg,TwC_Avg,WBGT_C_Avg,logger_BattV_Avg,logger_Temp_C_Avg
TS,RN,mbar,%RH,Deg C,Deg C,meters/second,degrees,,,Deg C,Deg C,Deg C,,Volts,Deg C
,,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg
2024-04-06 00:39:00,370,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31
2024-04-06 00:40:00,371,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31
2024-04-06 00:41:00,372,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.01
2024-04-06 00:42:00,373,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.01
2024-04-06 00:43:00,374,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.01
2024-04-06 00:44:00,375,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.01
2024-04-06 00:45:00,376,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.01
2024-04-06 00:46:00,377,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.01
2024-04-06 00:47:00,378,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.01
2024-04-06 00:48:00,379,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.01
2024-04-06 00:49:00,380,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.01
2024-04-06 00:50:00,381,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.01
2024-04-06 00:51:00,382,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.01
2024-04-06 00:52:00,383,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.01
2024-04-06 00:53:00,384,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.01
2024-04-06 00:54:00,385,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.02
2024-04-06 00:55:00,386,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.02
2024-04-06 00:56:00,387,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.02
2024-04-06 00:57:00,388,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.03
2024-04-06 00:58:00,389,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.03
2024-04-06 00:59:00,390,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.03
2024-04-06 01:00:00,391,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.03
2024-04-06 01:01:00,392,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.03
2024-04-06 01:02:00,393,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.03
2024-04-06 01:03:00,394,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.03
2024-04-06 01:04:00,395,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.03
2024-04-06 01:05:00,396,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.03
2024-04-06 01:06:00,397,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.04
2024-04-06 01:07:00,398,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.04
2024-04-06 01:08:00,399,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.04
2024-04-06 01:09:00,400,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.04
2024-04-06 01:10:00,401,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.04
2024-04-06 01:11:00,402,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.05
2024-04-06 01:12:00,403,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.05
2024-04-06 01:13:00,404,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.04
2024-04-06 01:14:00,405,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.05
2024-04-06 01:15:00,406,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.05
2024-04-06 01:16:00,407,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.05
